PBR,AAB,Point Breakers,1
DSV,AAB,Death Savers,1
SSS,SHR,Silverball Slayers,1
NLT,OLF,Northern Lights,1
JMF,JUP,Middle Flippers,1
TWC,FFD,The Wrecking Crew,1
SCN,NAR,Seacorns,2
CRA,ANC,Castle Crashers,2
SWL,8BT,Specials When Lit,1
SJK,FTB,Soda Jerks,1
DTP,JUP,DTP,1
KNR,FFD,Knight Riders,1
CPO,ANC,Pants Optional,2
PGN,8BT,Pinguins,2
CHS,CDX,Coinhole Surfers,1
LLK,LLQ,Lucky Lickers,2
IBL,IBX,Ice Bullies,1
DIH,SHR,Drain in Hell,2
TBT,4BS,The B Team,2
HHS,HND,Hellhounds,2
RMS,RAY,Magic Saves,2
CDC,CDX,Contras,2
FRZ,NAR,Drain Freeze,2
LNL,VID,Locked n' Loaded,2
ETB,TGA,18-Ball Deluxe,2
PKT,COP,Pocketeers,2
